SCAN_ROOT_COUNT	3
SCAN_FILE_COUNT	349
SCAN_TOTAL_BYTES	1215989873
CONTRACT_PATTERN	^\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}(\.\d{1,9})?([+-]\d{2}:\d{2}|Z)$

=== PER-FILE ===
file	bytes	lines	extracted	shapes
landing\quarantine\29\2026090608.jsonl	0	1	0	
landing\quarantine\29\2026090609.jsonl	0	1	0	
landing\quarantine\29\2026090610.jsonl	0	1	0	
landing\quarantine\29\2026090611.jsonl	0	1	0	
landing\quarantine\29\2026090612.jsonl	0	1	0	
landing\quarantine\29\2026090613.jsonl	0	1	0	
landing\quarantine\29\2026090614.jsonl	0	1	0	
landing\quarantine\29\2026090615.jsonl	0	1	0	
landing\quarantine\29\2026090616.jsonl	0	1	0	
landing\quarantine\29\2026090617.jsonl	0	1	0	
landing\quarantine\29\2026090620.jsonl	0	1	0	
landing\quarantine\29\2026090621.jsonl	1612	6	4	CONTRACT_OK_OFFSET=4
landing\quarantine\29\2026090700.jsonl	822	4	2	CONTRACT_OK_OFFSET=2
landing\quarantine\29\2026090701.jsonl	296	2	1	CONTRACT_OK_OFFSET=1
landing\quarantine\29\2026090703.jsonl	0	1	0	
landing\quarantine\29\golden-r615-20260910164859.jsonl	720	4	2	CONTRACT_OK_OFFSET=2
landing\quarantine\29\golden-r615b-20260910165249.jsonl	1011	5	3	CONTRACT_OK_OFFSET=3
landing\quarantine\29\golden-r618-tampered-20260910.jsonl	1011	5	3	CONTRACT_OK_OFFSET=3
landing\quarantine\29\golden-r619-clean-20260910.jsonl	1011	5	3	CONTRACT_OK_OFFSET=3
landing\quarantine\29\golden-r70-clean-20260910.jsonl	1011	5	3	CONTRACT_OK_OFFSET=3
landing\quarantine\29\golden-r73-clean-20260910.jsonl	1011	5	3	CONTRACT_OK_OFFSET=3
